Names,Locations,Prices/Mon
3 otaqlı65 m²3/5 mərtəbə,Elmlər Akademiyası m.,500AZN/ay
2 otaqlı60 m²12/16 mərtəbə,Xətai r.,450AZN/ay
2 otaqlı65 m²2/3 mərtəbə,Bakıxanov q.,500AZN/ay
3 otaqlı73.9 m²4/5 mərtəbə,İçəri Şəhər m.,600AZN/ay
2 otaqlı45 m²5/5 mərtəbə,Memar Əcəmi m.,300AZN/ay
300 m²,Qaraçuxur q.,400AZN/ay
175 m²,Xırdalan,1 000AZN/ay
5 otaqlı160 m²,Nərimanov r.,550AZN/ay
3 otaqlı88 m²12/19 mərtəbə,20 Yanvar m.,500AZN/ay
4 otaqlı100 m²,Səbail r.,1 200AZN/ay
2 otaqlı40 m²1/5 mərtəbə,Elmlər Akademiyası m.,350AZN/ay
70 m²,Gəncə,700AZN/ay
2 otaqlı40 m²9/10 mərtəbə,Səbail r.,40AZN/gün
60 m²,Memar Əcəmi m.,1 000AZN/ay
3 otaqlı100 m²14/17 mərtəbə,8 Noyabr m.,700AZN/ay
3 otaqlı120 m²4/10 mərtəbə,28 May m.,600AZN/ay
3 otaqlı95 m²7/17 mərtəbə,Xutor q.,550AZN/ay
2 otaqlı56 m²4/5 mərtəbə,Bakıxanov q.,400AZN/ay
105 m²,28 May m.,1 900AZN/ay
3 otaqlı75 m²4/5 mərtəbə,Sumqayıt,300AZN/ay
3 otaqlı76 m²8/10 mərtəbə,Sumqayıt,500AZN/ay
90 m²,Nəriman Nərimanov m.,2 000AZN/ay
3 otaqlı180 m²,Binəqədi r.,900AZN/ay
4 otaqlı210 m²5/17 mərtəbə,Nəsimi r.,1 800AZN/ay
4 otaqlı140 m²1/3 mərtəbə,Səbail r.,650AZN/ay
3 otaqlı165 m²12/14 mərtəbə,Nərimanov r.,1 500AZN/ay
3 otaqlı100 m²4/19 mərtəbə,Yasamal r.,890AZN/ay
3 otaqlı145 m²9/20 mərtəbə,8 Noyabr m.,850AZN/ay
3 otaqlı150 m²2/33 mərtəbə,Səbail r.,2 100AZN/ay
3 otaqlı150 m²5/18 mərtəbə,Elmlər Akademiyası m.,1 200AZN/ay
2 otaqlı86 m²2/4 mərtəbə,Nərimanov r.,500AZN/ay
3 otaqlı50 m²,Qax,55AZN/gün
2 otaqlı48 m²3/3 mərtəbə,Nizami m.,850AZN/ay
3 otaqlı178 m²6/10 mərtəbə,Nizami r.,950AZN/ay
2 otaqlı50 m²2/12 mərtəbə,Masazır q.,370AZN/ay
50 m²,İnşaatçılar m.,500AZN/ay
3 otaqlı90 m²4/10 mərtəbə,28 May m.,650AZN/ay
2 otaqlı90 m²14/16 mərtəbə,Nəriman Nərimanov m.,700AZN/ay
3 otaqlı60 m²,Nərimanov r.,250AZN/ay
1 otaqlı33 m²2/5 mərtəbə,Elmlər Akademiyası m.,450AZN/ay
35 m²,Bakıxanov q.,250AZN/ay
4 otaqlı178 m²1/16 mərtəbə,28 May m.,1 200AZN/ay
1400 m²,Dərnəgül m.,8 400AZN/ay
1 otaqlı20 m²,Biləcəri q.,200AZN/ay
4 otaqlı202 m²14/17 mərtəbə,Nizami m.,1 400AZN/ay
100 m²,Xırdalan,750AZN/ay
4 otaqlı120 m²2/5 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
2 otaqlı30 m²,İnşaatçılar m.,100AZN/ay
3 otaqlı140 m²8/16 mərtəbə,Nəsimi r.,950AZN/ay
3 otaqlı100 m²15/17 mərtəbə,İnşaatçılar m.,480AZN/ay
150 m²,Səbail r.,7 500AZN/ay
2 otaqlı100 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
290 m²,Həzi Aslanov q.,4 900AZN/ay
3 otaqlı185 m²12/21 mərtəbə,Sahil m.,3 900AZN/ay
3 otaqlı150 m²9/18 mərtəbə,Şah İsmayıl Xətai m.,60AZN/gün
3 otaqlı130 m²3/20 mərtəbə,20 Yanvar m.,700AZN/ay
3 otaqlı120 m²3/16 mərtəbə,Memar Əcəmi m.,500AZN/ay
3 otaqlı136 m²10/33 mərtəbə,Səbail r.,2 500AZN/ay
30 m²,Memar Əcəmi m.,200AZN/ay
2 otaqlı48 m²1/2 mərtəbə,Nizami m.,350AZN/ay
2 otaqlı100 m²14/16 mərtəbə,Badamdar q.,850AZN/ay
2 otaqlı65 m²1/9 mərtəbə,Memar Əcəmi m.,400AZN/ay
2 otaqlı50 m²1/9 mərtəbə,7-ci mikrorayon q.,500AZN/ay
3 otaqlı110 m²7/16 mərtəbə,Yasamal r.,1 100AZN/ay
2 otaqlı65 m²2/5 mərtəbə,Sahil m.,900AZN/ay
5 otaqlı140 m²,İnşaatçılar m.,1 800AZN/ay
5 otaqlı140 m²,Nizami m.,1 800AZN/ay
2 otaqlı101 m²15/27 mərtəbə,Yasamal r.,1 000AZN/ay
4 otaqlı140 m²16/22 mərtəbə,28 May m.,1 500AZN/ay
3 otaqlı70 m²2/6 mərtəbə,Sahil m.,1 000AZN/ay
40 m²,Şəki,200AZN/ay
14 otaqlı1400 m²,Nərimanov r.,10 000AZN/ay
2 otaqlı100 m²10/18 mərtəbə,Nəsimi r.,700AZN/ay
5 otaqlı200 m²,İçəri Şəhər m.,4 000AZN/ay
3 otaqlı110 m²6/17 mərtəbə,İnşaatçılar m.,700AZN/ay
3 otaqlı140 m²22/27 mərtəbə,Nəsimi r.,1 500AZN/ay
7 otaqlı650 m²,Qara Qarayev m.,2 000AZN/ay
2 otaqlı65 m²11/19 mərtəbə,Gənclik m.,700AZN/ay
50 m²,Şah İsmayıl Xətai m.,800AZN/ay
3 otaqlı100 m²10/20 mərtəbə,20 Yanvar m.,700AZN/ay
3 otaqlı100 m²7/18 mərtəbə,Şah İsmayıl Xətai m.,700AZN/ay
2 otaqlı90 m²9/14 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
2 otaqlı65 m²11/18 mərtəbə,28 May m.,900AZN/ay
2 otaqlı45 m²1/5 mərtəbə,Elmlər Akademiyası m.,500AZN/ay
2 otaqlı60 m²14/27 mərtəbə,Yasamal r.,800AZN/ay
3 otaqlı90 m²5/22 mərtəbə,Nəsimi r.,700AZN/ay
2 otaqlı100 m²10/27 mərtəbə,Yasamal r.,1 000AZN/ay
2 otaqlı90 m²15/20 mərtəbə,Şah İsmayıl Xətai m.,1 200AZN/ay
2 otaqlı50 m²4/5 mərtəbə,Gənclik m.,500AZN/ay
240 m²,Gənclik m.,2 500AZN/ay
3 otaqlı103.6 m²4/5 mərtəbə,Şəmkir,300AZN/ay
180 m²,20 Yanvar m.,2 200AZN/ay
3 otaqlı145 m²9/20 mərtəbə,8 Noyabr m.,850AZN/ay
3 otaqlı90 m²5/5 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
3 otaqlı123 m²3/20 mərtəbə,20 Yanvar m.,700AZN/ay
2 otaqlı80 m²4/19 mərtəbə,Nəsimi r.,800AZN/ay
2 otaqlı60 m²2/6 mərtəbə,Sahil m.,550AZN/ay
3 otaqlı123 m²3/22 mərtəbə,Yasamal r.,700AZN/ay
2 otaqlı60 m²13/16 mərtəbə,Nərimanov r.,550AZN/ay
3 otaqlı100 m²15/18 mərtəbə,Yasamal r.,480AZN/ay
3 otaqlı130 m²15/18 mərtəbə,Nərimanov r.,1 200AZN/ay
1200 m²,Binəqədi r.,3 000AZN/ay
3 otaqlı170 m²2/10 mərtəbə,Xətai r.,1 500AZN/ay
60 m²,Sahil m.,850AZN/ay
2 otaqlı60 m²8/27 mərtəbə,Yasamal r.,900AZN/ay
2 otaqlı100 m²15/17 mərtəbə,20 Yanvar m.,700AZN/ay
3 otaqlı95 m²10/20 mərtəbə,20 Yanvar m.,750AZN/ay
2 otaqlı101 m²15/17 mərtəbə,20 Yanvar m.,700AZN/ay
2500 m²,Şah İsmayıl Xətai m.,60 000AZN/ay
4 otaqlı180 m²3/7 mərtəbə,Xətai r.,2 160AZN/ay
5 otaqlı115 m²,Nizami m.,2 800AZN/ay
3 otaqlı180 m²3/30 mərtəbə,Nəsimi r.,3 500AZN/ay
3 otaqlı150 m²17/19 mərtəbə,28 May m.,1 200AZN/ay
3 otaqlı110 m²,Şah İsmayıl Xətai m.,1 500AZN/ay
3 otaqlı140 m²9/30 mərtəbə,Nəsimi r.,3 500AZN/ay
2 otaqlı45 m²1/1 mərtəbə,Masazır q.,220AZN/ay
28 m²,Gənclik m.,1 000AZN/ay
2 otaqlı91 m²12/15 mərtəbə,Nəriman Nərimanov m.,750AZN/ay
3 otaqlı123 m²3/22 mərtəbə,Nəsimi r.,700AZN/ay
3 otaqlı86 m²5/18 mərtəbə,Nəsimi r.,700AZN/ay
2 otaqlı100 m²7/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
8 otaqlı375 m²,Zabrat q.,1 600AZN/ay
2 otaqlı90 m²3/18 mərtəbə,Nəsimi r.,800AZN/ay
3 otaqlı105 m²3/4 mərtəbə,Sahil m.,2 000AZN/ay
3 otaqlı100 m²2/10 mərtəbə,Yeni Yasamal q.,600AZN/ay
4 otaqlı144 m²8/18 mərtəbə,8 Noyabr m.,850AZN/ay
3 otaqlı100 m²4/19 mərtəbə,Elmlər Akademiyası m.,890AZN/ay
4 otaqlı150 m²18/23 mərtəbə,28 May m.,1 499AZN/ay
3 otaqlı110 m²15/20 mərtəbə,Şah İsmayıl Xətai m.,1 400AZN/ay
7 otaqlı130 m²,Nərimanov r.,1 700AZN/ay
2 otaqlı100 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
4 otaqlı140 m²17/22 mərtəbə,28 May m.,1 500AZN/ay
55 m²,İnşaatçılar m.,500AZN/ay
200 m²,Şah İsmayıl Xətai m.,2 300AZN/ay
3 otaqlı119 m²8/18 mərtəbə,Nərimanov r.,1 000AZN/ay
3 otaqlı75 m²1/2 mərtəbə,İçəri Şəhər m.,749AZN/ay
1500 m²,Günəşli q.,10 000AZN/ay
3 otaqlı145 m²13/17 mərtəbə,Şah İsmayıl Xətai m.,1 300AZN/ay
4 otaqlı180 m²16/18 mərtəbə,Şah İsmayıl Xətai m.,1 400AZN/ay
3 otaqlı60 m²5/9 mərtəbə,Gənclik m.,500AZN/ay
3 otaqlı140 m²3/22 mərtəbə,Yasamal r.,700AZN/ay
15 m²,Sahil m.,300AZN/ay
2 otaqlı51 m²3/9 mərtəbə,20 Yanvar m.,450AZN/ay
3 otaqlı170 m²3/10 mərtəbə,Şah İsmayıl Xətai m.,1 200AZN/ay
2 otaqlı100 m²,Nəsimi r.,750AZN/ay
3 otaqlı130 m²13/16 mərtəbə,Nərimanov r.,700AZN/ay
3 otaqlı220 m²15/20 mərtəbə,Nərimanov r.,1 500AZN/ay
3 otaqlı110 m²9/21 mərtəbə,Şah İsmayıl Xətai m.,2 399AZN/ay
4 otaqlı200 m²6/17 mərtəbə,Nərimanov r.,1 200AZN/ay
2 otaqlı110 m²12/20 mərtəbə,Nəsimi r.,1 000AZN/ay
3 otaqlı145 m²3/18 mərtəbə,20 Yanvar m.,700AZN/ay
4 otaqlı120 m²4/9 mərtəbə,28 May m.,600AZN/ay
3 otaqlı95 m²5/5 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
2 otaqlı65 m²7/16 mərtəbə,İçəri Şəhər m.,850AZN/ay
3 otaqlı160 m²9/27 mərtəbə,Nəsimi r.,1 500AZN/ay
2 otaqlı35 m²5/5 mərtəbə,Yasamal r.,480AZN/ay
2 otaqlı114 m²9/16 mərtəbə,Nəsimi r.,1 000AZN/ay
4 otaqlı135 m²17/22 mərtəbə,28 May m.,1 500AZN/ay
200 m²,Nəsimi r.,1 900AZN/ay
3 otaqlı60 m²2/6 mərtəbə,Nəsimi r.,1 000AZN/ay
2 otaqlı110 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
2 otaqlı105 m²15/19 mərtəbə,Nərimanov r.,650AZN/ay
1 otaqlı37 m²5/11 mərtəbə,Xırdalan,250AZN/ay
3 otaqlı65 m²4/10 mərtəbə,Nəriman Nərimanov m.,500AZN/ay
2 otaqlı100 m²14/17 mərtəbə,Nəsimi r.,700AZN/ay
3 otaqlı100 m²4/9 mərtəbə,28 May m.,750AZN/ay
3 otaqlı140 m²3/22 mərtəbə,Yasamal r.,700AZN/ay
3 otaqlı100 m²5/5 mərtəbə,Nəriman Nərimanov m.,599AZN/ay
3 otaqlı100 m²11/20 mərtəbə,20 Yanvar m.,750AZN/ay
4 otaqlı140 m²11/16 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
3 otaqlı95 m²4/19 mərtəbə,İnşaatçılar m.,1 000AZN/ay
2 otaqlı63 m²5/17 mərtəbə,Nəriman Nərimanov m.,500AZN/ay
4 otaqlı140 m²,Masazır q.,450AZN/ay
7 otaqlı262 m²,M.Ə.Rəsulzadə q.,800AZN/ay
70 m²,Yeni Yasamal q.,550AZN/ay
2 otaqlı55 m²5/9 mərtəbə,Yeni Yasamal q.,300AZN/ay
2 otaqlı30 m²1/5 mərtəbə,İnşaatçılar m.,450AZN/ay
3 otaqlı120 m²8/16 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
5 otaqlı240 m²5/6 mərtəbə,Xətai r.,2 000AZN/ay
2 otaqlı70 m²11/22 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
4 otaqlı148 m²8/18 mərtəbə,Nəsimi r.,850AZN/ay
2 otaqlı98 m²7/12 mərtəbə,Nərimanov r.,550AZN/ay
3 otaqlı90 m²6/23 mərtəbə,Nəsimi r.,700AZN/ay
3 otaqlı95 m²4/18 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
200 m²,İçəri Şəhər m.,11 000AZN/ay
3 otaqlı145 m²4/16 mərtəbə,Nizami m.,700AZN/ay
2 otaqlı110 m²16/16 mərtəbə,Şah İsmayıl Xətai m.,850AZN/ay
2 otaqlı91 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
4 otaqlı171 m²4/16 mərtəbə,Nərimanov r.,1 000AZN/ay
4 otaqlı350 m²9/10 mərtəbə,Nərimanov r.,1 500AZN/ay
3 otaqlı125 m²12/16 mərtəbə,Nizami m.,1 000AZN/ay
2 otaqlı100 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
3 otaqlı95 m²5/5 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
3 otaqlı90 m²3/9 mərtəbə,Nəriman Nərimanov m.,500AZN/ay
3 otaqlı160 m²10/12 mərtəbə,Sahil m.,1 300AZN/ay
100 m²,İnşaatçılar m.,2 500AZN/ay
2 otaqlı64 m²13/17 mərtəbə,Qara Qarayev m.,500AZN/ay
4 otaqlı198 m²5/18 mərtəbə,Gənclik m.,1 000AZN/ay
65 m²,Səbail r.,2 500AZN/ay
3 otaqlı145 m²16/18 mərtəbə,Sahil m.,1 700AZN/ay
2 otaqlı75 m²8/16 mərtəbə,Nəsimi r.,500AZN/ay
2 otaqlı100 m²10/27 mərtəbə,Nəsimi r.,1 000AZN/ay
65 m²,28 May m.,2 500AZN/ay
100 m²,Nərimanov r.,3 000AZN/ay
2 otaqlı100 m²10/27 mərtəbə,Yasamal r.,1 000AZN/ay
2 otaqlı85 m²5/16 mərtəbə,28 May m.,800AZN/ay
1 otaqlı18 m²,Əhmədli m.,300AZN/ay
4 otaqlı220 m²5/23 mərtəbə,Nəsimi r.,1 700AZN/ay
3 otaqlı100 m²4/16 mərtəbə,Nəriman Nərimanov m.,800AZN/ay
5 otaqlı170 m²,Nərimanov r.,1 800AZN/ay
3 otaqlı105 m²16/17 mərtəbə,Xətai r.,950AZN/ay
2 otaqlı56 m²13/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
14 otaqlı530 m²,Nəsimi r.,6 000AZN/ay
4 otaqlı180 m²3/17 mərtəbə,28 May m.,1 600AZN/ay
2 otaqlı67 m²8/16 mərtəbə,İnşaatçılar m.,450AZN/ay
3 otaqlı70 m²1/9 mərtəbə,8 Noyabr m.,500AZN/ay
3 otaqlı140 m²11/22 mərtəbə,28 May m.,800AZN/ay
300 m²,Sahil m.,5 500AZN/ay
2 otaqlı80 m²7/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
2 otaqlı80 m²4/16 mərtəbə,Nəsimi r.,800AZN/ay
3 otaqlı110 m²10/17 mərtəbə,Nəriman Nərimanov m.,800AZN/ay
3 otaqlı70 m²3/5 mərtəbə,İnşaatçılar m.,550AZN/ay
3 otaqlı70 m²2/9 mərtəbə,Əhmədli m.,350AZN/ay
2 otaqlı100 m²10/27 mərtəbə,Yasamal r.,1 000AZN/ay
2 otaqlı45 m²7/9 mərtəbə,Yeni Günəşli q.,300AZN/ay
2 otaqlı50 m²3/5 mərtəbə,20 Yanvar m.,450AZN/ay
2 otaqlı105 m²9/12 mərtəbə,İnşaatçılar m.,600AZN/ay
5 otaqlı400 m²,Bakıxanov q.,1 300AZN/ay
2 otaqlı50 m²7/18 mərtəbə,8 Noyabr m.,620AZN/ay
3 otaqlı65 m²4/9 mərtəbə,Nərimanov r.,500AZN/ay
3 otaqlı100 m²9/17 mərtəbə,Elmlər Akademiyası m.,1 000AZN/ay
3 otaqlı125 m²12/17 mərtəbə,Nizami m.,1 000AZN/ay
180 m²,Xırdalan,2 000AZN/ay
4 otaqlı210 m²2/16 mərtəbə,20 Yanvar m.,1 000AZN/ay
3 otaqlı100 m²3/3 mərtəbə,Sahil m.,800AZN/ay
2 otaqlı57 m²13/16 mərtəbə,Həzi Aslanov m.,315AZN/ay
3 otaqlı118 m²8/17 mərtəbə,Nəriman Nərimanov m.,1 000AZN/ay
3 otaqlı100 m²12/16 mərtəbə,Elmlər Akademiyası m.,1 000AZN/ay
3 otaqlı110 m²,İçəri Şəhər m.,1 600AZN/ay
60 m²,İçəri Şəhər m.,1 200AZN/ay
1 otaqlı30 m²5/5 mərtəbə,Elmlər Akademiyası m.,400AZN/ay
3 otaqlı128 m²2/17 mərtəbə,Həzi Aslanov q.,450AZN/ay
2 otaqlı100 m²7/16 mərtəbə,Həzi Aslanov q.,450AZN/ay
2 otaqlı100 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
2 otaqlı100 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,750AZN/ay
3 otaqlı140 m²11/22 mərtəbə,Nəsimi r.,750AZN/ay
3 otaqlı178 m²4/16 mərtəbə,Nəsimi r.,3 400AZN/ay
3 otaqlı120 m²8/17 mərtəbə,Gənclik m.,1 000AZN/ay
3 otaqlı60 m²3/5 mərtəbə,Səbail r.,1 200AZN/ay
3 otaqlı75 m²3/3 mərtəbə,Sahil m.,600AZN/ay
2 otaqlı40 m²17/17 mərtəbə,Qara Qarayev m.,40AZN/gün
3 otaqlı105 m²17/22 mərtəbə,Nəsimi r.,1 500AZN/ay
3 otaqlı112 m²12/16 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
4 otaqlı300 m²,Səbail r.,3 500AZN/ay
3 otaqlı77 m²7/18 mərtəbə,Dərnəgül m.,550AZN/ay
2 otaqlı72 m²14/21 mərtəbə,Şah İsmayıl Xətai m.,1 200AZN/ay
2 otaqlı113 m²12/21 mərtəbə,Nəsimi r.,1 100AZN/ay
2 otaqlı80 m²6/17 mərtəbə,Şah İsmayıl Xətai m.,1 300AZN/ay
4 otaqlı105 m²5/5 mərtəbə,Gənclik m.,650AZN/ay
120 m²,9-cu mikrorayon q.,2 500AZN/ay
2 otaqlı95 m²12/19 mərtəbə,Şah İsmayıl Xətai m.,1 200AZN/ay
2 otaqlı95 m²7/16 mərtəbə,20 Yanvar m.,500AZN/ay
2 otaqlı85 m²1/27 mərtəbə,Səbail r.,2 000AZN/ay
2 otaqlı90 m²7/17 mərtəbə,Nəsimi r.,530AZN/ay
2 otaqlı40 m²2/3 mərtəbə,28 May m.,450AZN/ay
4 otaqlı210 m²,Nərimanov r.,1 800AZN/ay
3 otaqlı150 m²7/18 mərtəbə,Şah İsmayıl Xətai m.,1 500AZN/ay
4 otaqlı230 m²11/22 mərtəbə,Nəsimi r.,2 500AZN/ay
700 m²,Şah İsmayıl Xətai m.,15 000AZN/ay
3 otaqlı150 m²12/19 mərtəbə,8 Noyabr m.,900AZN/ay
3 otaqlı125 m²11/17 mərtəbə,Həzi Aslanov m.,600AZN/ay
3 otaqlı160 m²7/17 mərtəbə,28 May m.,699AZN/ay
4 otaqlı104 m²5/5 mərtəbə,Gənclik m.,650AZN/ay
1 otaqlı30 m²,Nərimanov r.,350AZN/ay
2 otaqlı150 m²9/19 mərtəbə,8 Noyabr m.,800AZN/ay
3 otaqlı124 m²14/16 mərtəbə,Qara Qarayev m.,700AZN/ay
2 otaqlı68 m²13/18 mərtəbə,8 Noyabr m.,750AZN/ay
3 otaqlı100 m²3/16 mərtəbə,İnşaatçılar m.,700AZN/ay
3 otaqlı137 m²2/29 mərtəbə,Nəsimi r.,2 300AZN/ay
1 otaqlı45 m²,Nərimanov r.,450AZN/ay
3 otaqlı100 m²11/17 mərtəbə,Nərimanov r.,800AZN/ay
90 m²,Elmlər Akademiyası m.,4 000AZN/ay
3 otaqlı110 m²14/20 mərtəbə,Şah İsmayıl Xətai m.,1 400AZN/ay
4 otaqlı220 m²,Qəbələ,120AZN/gün
3 otaqlı150 m²6/16 mərtəbə,Xətai r.,900AZN/ay
2 otaqlı63 m²5/14 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
3 otaqlı75 m²3/5 mərtəbə,Nərimanov r.,600AZN/ay
3 otaqlı110 m²15/20 mərtəbə,Şah İsmayıl Xətai m.,1 400AZN/ay
3 otaqlı200 m²2/17 mərtəbə,28 May m.,1 100AZN/ay
2 otaqlı100 m²9/19 mərtəbə,20 Yanvar m.,600AZN/ay
3 otaqlı120 m²6/16 mərtəbə,Nərimanov r.,650AZN/ay
2 otaqlı100 m²13/17 mərtəbə,Elmlər Akademiyası m.,800AZN/ay
220 m²,Nəsimi r.,3 000AZN/ay
150 m²,Binəqədi r.,1 000AZN/ay
2 otaqlı105 m²15/18 mərtəbə,Gənclik m.,650AZN/ay
3 otaqlı130 m²11/11 mərtəbə,Sahil m.,1 200AZN/ay
3 otaqlı87 m²5/23 mərtəbə,Nəsimi r.,700AZN/ay
80 m²,Xətai r.,2 400AZN/ay
580 m²,Xəzər r.,2 000AZN/ay
2 otaqlı92 m²5/16 mərtəbə,Şah İsmayıl Xətai m.,500AZN/ay
4 otaqlı180 m²8/14 mərtəbə,İçəri Şəhər m.,3 000AZN/ay
4 otaqlı160 m²9/16 mərtəbə,Nəriman Nərimanov m.,1 300AZN/ay
3 otaqlı140 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
3 otaqlı110 m²2/5 mərtəbə,Nəriman Nərimanov m.,1 050AZN/ay
2 otaqlı60 m²14/16 mərtəbə,Şah İsmayıl Xətai m.,650AZN/ay
170 m²,İçəri Şəhər m.,1 700AZN/ay
4 otaqlı205 m²2/16 mərtəbə,Elmlər Akademiyası m.,900AZN/ay
2 otaqlı80 m²18/19 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
3 otaqlı154 m²20/24 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
3 otaqlı145 m²14/17 mərtəbə,28 May m.,800AZN/ay
2 otaqlı55 m²3/5 mərtəbə,Memar Əcəmi m.,500AZN/ay
4 otaqlı160 m²9/16 mərtəbə,Nəriman Nərimanov m.,1 200AZN/ay
1 otaqlı45 m²14/17 mərtəbə,Biləcəri q.,300AZN/ay
2 otaqlı100 m²9/18 mərtəbə,Nəsimi r.,1 000AZN/ay
3 otaqlı60 m²2/4 mərtəbə,İçəri Şəhər m.,1 000AZN/ay
2 otaqlı40 m²6/9 mərtəbə,İnşaatçılar m.,400AZN/ay
2 otaqlı55 m²4/5 mərtəbə,Memar Əcəmi m.,450AZN/ay
120 m²,Sahil m.,1 700AZN/ay
120 m²,Nəriman Nərimanov m.,2 000AZN/ay
3 otaqlı100 m²5/14 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
35 m²,İçəri Şəhər m.,400AZN/ay
3 otaqlı86 m²5/23 mərtəbə,Nəsimi r.,700AZN/ay
2 otaqlı50 m²4/5 mərtəbə,Memar Əcəmi m.,450AZN/ay
4 otaqlı190 m²4/20 mərtəbə,Gənclik m.,1 300AZN/ay
500 m²,Xırdalan,3 000AZN/ay
130 m²,İçəri Şəhər m.,2 500AZN/ay
3 otaqlı150 m²6/17 mərtəbə,28 May m.,700AZN/ay
2 otaqlı60 m²14/17 mərtəbə,Qara Qarayev m.,400AZN/ay
2 otaqlı90 m²11/18 mərtəbə,Nəsimi m.,500AZN/ay
68 m²,28 May m.,1 600AZN/ay
2000 m²,Novxanı q.,7 000AZN/ay
9 otaqlı300 m²,Nərimanov r.,4 500AZN/ay
3 otaqlı125 m²12/16 mərtəbə,Sahil m.,1 000AZN/ay
2 otaqlı65 m²11/17 mərtəbə,Nəsimi r.,900AZN/ay
2 otaqlı60 m²5/12 mərtəbə,8 Noyabr m.,620AZN/ay
3 otaqlı65 m²3/9 mərtəbə,Səbail r.,550AZN/ay
3 otaqlı70 m²6/9 mərtəbə,Azadlıq Prospekti m.,500AZN/ay
4 otaqlı205 m²13/18 mərtəbə,Nəsimi r.,2 500AZN/ay
11 otaqlı307 m²,Nəriman Nərimanov m.,3 700AZN/ay
3 otaqlı80 m²9/21 mərtəbə,Yeni Yasamal q.,500AZN/ay
2 otaqlı55 m²3/5 mərtəbə,20 Yanvar m.,500AZN/ay
6 otaqlı180 m²,Qəbələ,150AZN/gün
16 otaqlı800 m²,Nizami m.,10 000AZN/ay
3 otaqlı70 m²1/5 mərtəbə,Nəsimi r.,350AZN/ay
2 otaqlı55 m²3/5 mərtəbə,20 Yanvar m.,500AZN/ay
2 otaqlı45 m²9/20 mərtəbə,20 Yanvar m.,450AZN/ay
4 otaqlı105 m²5/5 mərtəbə,Gənclik m.,600AZN/ay
2 otaqlı45 m²5/5 mərtəbə,Bayıl q.,500AZN/ay
2 otaqlı54 m²2/3 mərtəbə,Səbail r.,450AZN/ay
2 otaqlı107 m²10/27 mərtəbə,Nəsimi r.,1 000AZN/ay
3 otaqlı110 m²14/16 mərtəbə,Elmlər Akademiyası m.,790AZN/ay
2 otaqlı100 m²6/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
1 otaqlı50 m²3/4 mərtəbə,Səbail r.,500AZN/ay
4 otaqlı200 m²,Nəsimi r.,1 600AZN/ay
130 m²,İçəri Şəhər m.,2 500AZN/ay
2 otaqlı52 m²4/5 mərtəbə,Gənclik m.,500AZN/ay
3 otaqlı140 m²14/17 mərtəbə,Nəsimi r.,800AZN/ay
1 otaqlı40 m²5/5 mərtəbə,Hövsan q.,250AZN/ay
3 otaqlı150 m²17/19 mərtəbə,Nəsimi r.,1 000AZN/ay
3 otaqlı125 m²12/18 mərtəbə,Nizami m.,1 000AZN/ay
320 m²,Xəzər r.,3 000AZN/ay
2 otaqlı110 m²7/27 mərtəbə,Nəsimi r.,800AZN/ay
3 otaqlı150 m²16/20 mərtəbə,Nəsimi r.,1 000AZN/ay
4 otaqlı185 m²6/16 mərtəbə,Nərimanov r.,1 000AZN/ay
3 otaqlı88 m²5/23 mərtəbə,Nərimanov r.,700AZN/ay
2 otaqlı55 m²,Nizami m.,1 000AZN/ay
2 otaqlı120 m²10/18 mərtəbə,Nizami m.,820AZN/ay
80 m²,Sahil m.,2 500AZN/ay
3 otaqlı155 m²11/20 mərtəbə,Badamdar q.,1 300AZN/ay
2 otaqlı90 m²,Nizami m.,750AZN/ay
3 otaqlı85 m²9/9 mərtəbə,Həzi Aslanov q.,450AZN/ay
2 otaqlı55 m²5/9 mərtəbə,Həzi Aslanov m.,400AZN/ay
