Names,Locations,Prices/Mon
3 otaqlı160 m²9/15 mərtəbə,28 May m.,1 200AZN/ay
1 otaqlı38 m²2/5 mərtəbə,20 Yanvar m.,250AZN/ay
5 otaqlı300 m²7/30 mərtəbə,Nəsimi r.,5 000AZN/ay
3 otaqlı140 m²8/30 mərtəbə,Nəsimi r.,2 500AZN/ay
5 otaqlı250 m²13/14 mərtəbə,Xətai r.,5 300AZN/ay
220 m²,İnşaatçılar m.,3 500AZN/ay
2 otaqlı70 m²7/18 mərtəbə,Xalqlar Dostluğu m.,600AZN/ay
2 otaqlı95 m²4/16 mərtəbə,Nəsimi r.,700AZN/ay
2 otaqlı65 m²11/22 mərtəbə,İnşaatçılar m.,500AZN/ay
130 m²,Yasamal r.,3 500AZN/ay
2 otaqlı70 m²8/16 mərtəbə,Abşeron r.,400AZN/ay
5 otaqlı220 m²,28 May m.,2 500AZN/ay
2 otaqlı80 m²12/16 mərtəbə,Şah İsmayıl Xətai m.,660AZN/ay
2 otaqlı85 m²5/28 mərtəbə,Yasamal r.,800AZN/ay
7 otaqlı240 m²,Nəsimi r.,2 500AZN/ay
4 otaqlı130 m²,28 May m.,2 500AZN/ay
2 otaqlı93 m²9/16 mərtəbə,Memar Əcəmi m.,580AZN/ay
3 otaqlı115 m²10/19 mərtəbə,Nəsimi r.,850AZN/ay
4 otaqlı210 m²,Nərimanov r.,3 500AZN/ay
70 m²,28 May m.,2 000AZN/ay
30 m²,Əhmədli m.,400AZN/ay
1 otaqlı35 m²3/18 mərtəbə,Gənclik m.,500AZN/ay
80 m²,Qara Qarayev m.,3 000AZN/ay
2 otaqlı60 m²12/16 mərtəbə,Nizami m.,600AZN/ay
4 otaqlı200 m²14/16 mərtəbə,Nəsimi r.,1 500AZN/ay
1 otaqlı53 m²7/18 mərtəbə,Xalqlar Dostluğu m.,400AZN/ay
3 otaqlı120 m²6/12 mərtəbə,Şah İsmayıl Xətai m.,850AZN/ay
4 otaqlı117 m²4/16 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
2 otaqlı63 m²3/16 mərtəbə,Neftçilər m.,500AZN/ay
2 otaqlı70 m²12/18 mərtəbə,Nəsimi r.,600AZN/ay
86 m²,Kubinka q.,1 000AZN/ay
85 m²,28 May m.,1 600AZN/ay
3 otaqlı96 m²4/9 mərtəbə,Nəriman Nərimanov m.,600AZN/ay
2 otaqlı36 m²5/5 mərtəbə,Yasamal r.,400AZN/ay
1 otaqlı25 m²,Qusar,50AZN/gün
4 otaqlı100 m²5/9 mərtəbə,8 Noyabr m.,450AZN/ay
2 otaqlı69 m²13/18 mərtəbə,Nəsimi r.,600AZN/ay
5 otaqlı154 m²4/16 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
4 otaqlı380 m²19/21 mərtəbə,Nəsimi r.,3 400AZN/ay
1 otaqlı27 m²,Şah İsmayıl Xətai m.,450AZN/ay
78 m²,Azadlıq Prospekti m.,800AZN/ay
1 otaqlı30 m²,Həzi Aslanov m.,200AZN/ay
220 m²,Nəsimi r.,3 500AZN/ay
400 m²,Bakıxanov q.,300AZN/ay
3 otaqlı150 m²27/27 mərtəbə,Yasamal r.,1 200AZN/ay
2 otaqlı78 m²4/4 mərtəbə,İçəri Şəhər m.,1 000AZN/ay
4 otaqlı102 m²7/9 mərtəbə,Yasamal r.,450AZN/ay
6 otaqlı360 m²,Yasamal r.,5 000AZN/ay
3 otaqlı100 m²9/10 mərtəbə,28 May m.,1 100AZN/ay
1 otaqlı18 m²1/1 mərtəbə,Nərimanov r.,210AZN/ay
2 otaqlı55 m²1/3 mərtəbə,Xırdalan,250AZN/ay
7 otaqlı220 m²,Nəsimi r.,2 500AZN/ay
5 otaqlı140 m²,Sahil m.,3 000AZN/ay
3 otaqlı110 m²,Yeni Suraxanı q.,350AZN/ay
3 otaqlı148 m²27/27 mərtəbə,Yasamal q.,1 300AZN/ay
3 otaqlı146 m²1/6 mərtəbə,Suraxanı r.,1 606AZN/ay
3 otaqlı130 m²9/16 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
3 otaqlı217 m²1/6 mərtəbə,Suraxanı r.,2 387AZN/ay
3 otaqlı122 m²5/6 mərtəbə,Suraxanı r.,1 342AZN/ay
4 otaqlı199 m²4/6 mərtəbə,Suraxanı r.,1 990AZN/ay
3 otaqlı133 m²5/6 mərtəbə,Suraxanı r.,1 463AZN/ay
1 otaqlı35 m²,Elmlər Akademiyası m.,450AZN/ay
4 otaqlı286 m²,Suraxanı r.,3 718AZN/ay
3 otaqlı50 m²3/5 mərtəbə,Nəriman Nərimanov m.,500AZN/ay
2 otaqlı100 m²8/24 mərtəbə,Nəsimi r.,800AZN/ay
2 otaqlı60 m²5/16 mərtəbə,Nəriman Nərimanov m.,570AZN/ay
2 otaqlı65 m²3/12 mərtəbə,Neftçilər m.,500AZN/ay
2 otaqlı95 m²16/16 mərtəbə,Şah İsmayıl Xətai m.,850AZN/ay
12 otaqlı610 m²,Nəsimi m.,2 500AZN/ay
3 otaqlı90 m²6/18 mərtəbə,8 Noyabr m.,800AZN/ay
2 otaqlı50 m²3/4 mərtəbə,Nəsimi r.,450AZN/ay
2 otaqlı40 m²8/16 mərtəbə,Bakıxanov q.,400AZN/ay
80 m²,Qara Qarayev m.,3 000AZN/ay
4 otaqlı210 m²2/16 mərtəbə,20 Yanvar m.,1 200AZN/ay
115 m²,Nərimanov r.,1 600AZN/ay
1 otaqlı36 m²8/9 mərtəbə,8-ci mikrorayon q.,400AZN/ay
2 otaqlı50 m²5/5 mərtəbə,Neftçilər m.,500AZN/ay
2 otaqlı75 m²8/19 mərtəbə,Nərimanov r.,615AZN/ay
4 otaqlı220 m²,İsmayıllı,60AZN/gün
4 otaqlı150 m²,Gənclik m.,1 760AZN/ay
3 otaqlı110 m²2/3 mərtəbə,İçəri Şəhər m.,850AZN/ay
2 otaqlı65 m²5/19 mərtəbə,Nəriman Nərimanov m.,570AZN/ay
3 otaqlı145 m²9/27 mərtəbə,Nəsimi r.,1 300AZN/ay
360 m²,Səbail r.,4 500AZN/ay
2 otaqlı50 m²3/4 mərtəbə,Nəsimi r.,450AZN/ay
2 otaqlı50 m²5/5 mərtəbə,Memar Əcəmi m.,400AZN/ay
3 otaqlı130 m²8/16 mərtəbə,Elmlər Akademiyası m.,800AZN/ay
2 otaqlı76 m²5/17 mərtəbə,Nəriman Nərimanov m.,750AZN/ay
3 otaqlı165 m²3/15 mərtəbə,İçəri Şəhər m.,1 200AZN/ay
3 otaqlı135 m²12/18 mərtəbə,Şah İsmayıl Xətai m.,1 500AZN/ay
200 m²,Bakıxanov q.,800AZN/ay
3 otaqlı85 m²4/16 mərtəbə,Elmlər Akademiyası m.,700AZN/ay
2 otaqlı65 m²10/27 mərtəbə,Nəsimi r.,800AZN/ay
2 otaqlı100 m²10/27 mərtəbə,Nəsimi r.,1 000AZN/ay
3 otaqlı125 m²8/18 mərtəbə,Şah İsmayıl Xətai m.,1 500AZN/ay
3 otaqlı107 m²5/16 mərtəbə,Nəsimi r.,1 300AZN/ay
2 otaqlı72 m²5/18 mərtəbə,Nəriman Nərimanov m.,400AZN/ay
2 otaqlı92 m²11/16 mərtəbə,Nərimanov r.,1 500AZN/ay
3 otaqlı146 m²11/18 mərtəbə,8 Noyabr m.,850AZN/ay
3 otaqlı135 m²7/19 mərtəbə,Nərimanov r.,700AZN/ay
2 otaqlı60 m²4/9 mərtəbə,Elmlər Akademiyası m.,600AZN/ay
