,Locations,Prices,Floor,Area,Rooms
166,Yasamal r.,21000,4/19 ,100 ,3 
167,Nəsimi r.,21000,5/19 ,118 ,3 
168,Nizami m.,60000,,75 ,
169,Nəsimi r.,48000,,85 ,
170,Sahil m.,21000,3/3 ,60 ,2 
171,Elmlər Akademiyası m.,30000,8/18 ,100 ,3 
172,Yasamal q.,3900,2/2 ,80 ,3 
173,Yasamal q.,12000,,60 ,2 
174,28 May m.,75000,,250 ,5 
175,Nəsimi r.,30000,,60 ,
176,28 May m.,48000,,85 ,
177,Hövsan q.,6900,2/7 ,56 ,2 
178,28 May m.,33000,,100 ,
179,İnşaatçılar m.,28500,8/10 ,158 ,3 
180,Koroğlu m.,15000,12/14 ,70 ,2 
181,Nizami m.,30000,11/20 ,70 ,1 
182,Şah İsmayıl Xətai m.,21000,17/18 ,100 ,3 
183,Azadlıq Prospekti m.,600,3/9 ,60 ,3 
184,28 May m.,36000,9/15 ,160 ,3 
185,20 Yanvar m.,7500,2/5 ,38 ,1 
186,Nəsimi r.,150000,7/30 ,300 ,5 
187,Nəsimi r.,75000,8/30 ,140 ,3 
188,Xətai r.,159000,13/14 ,250 ,5 
189,İnşaatçılar m.,105000,,220 ,
190,Xalqlar Dostluğu m.,18000,7/18 ,70 ,2 
191,Nəsimi r.,21000,4/16 ,95 ,2 
192,İnşaatçılar m.,15000,11/22 ,65 ,2 
193,Yasamal r.,105000,,130 ,
194,Abşeron r.,12000,8/16 ,70 ,2 
195,28 May m.,75000,,220 ,5 
196,Şah İsmayıl Xətai m.,19800,12/16 ,80 ,2 
197,Yasamal r.,24000,5/28 ,85 ,2 
198,Nəsimi r.,75000,,240 ,7 
199,28 May m.,75000,,130 ,4 
200,Memar Əcəmi m.,17400,9/16 ,93 ,2 
201,Nəsimi r.,25500,10/19 ,115 ,3 
202,Nərimanov r.,105000,,210 ,4 
203,28 May m.,60000,,70 ,
204,Əhmədli m.,12000,,30 ,
205,Gənclik m.,15000,3/18 ,35 ,1 
206,Qara Qarayev m.,90000,,80 ,
207,Nizami m.,18000,12/16 ,60 ,2 
208,Nəsimi r.,45000,14/16 ,200 ,4 
209,Xalqlar Dostluğu m.,12000,7/18 ,53 ,1 
210,Şah İsmayıl Xətai m.,25500,6/12 ,120 ,3 
211,Şah İsmayıl Xətai m.,24000,4/16 ,117 ,4 
212,Neftçilər m.,15000,3/16 ,63 ,2 
213,Nəsimi r.,18000,12/18 ,70 ,2 
214,Kubinka q.,30000,,86 ,
215,28 May m.,48000,,85 ,
216,Nəriman Nərimanov m.,18000,4/9 ,96 ,3 
217,Yasamal r.,12000,5/5 ,36 ,2 
218,Qusar,50,,25 ,1 
219,8 Noyabr m.,13500,5/9 ,100 ,4 
220,Nəsimi r.,18000,13/18 ,69 ,2 
221,Şah İsmayıl Xətai m.,30000,4/16 ,154 ,5 
222,Nəsimi r.,102000,19/21 ,380 ,4 
223,Şah İsmayıl Xətai m.,13500,,27 ,1 
