,Locations,Prices,Floor,Area,Rooms
3067,Neftçilər m.,13500,1/5 ,50 ,2 
3068,Xətai r.,30000,5/18 ,95 ,3 
3069,Yasamal r.,18000,3/16 ,80 ,3 
3070,Nəsimi r.,29970,12/21 ,105 ,2 
3071,Nizami m.,31500,5/16 ,186 ,4 
3072,Memar Əcəmi m.,12000,1/5 ,41 ,2 
3073,Elmlər Akademiyası m.,27000,15/15 ,70 ,2 
3074,20 Yanvar m.,19500,16/20 ,80 ,3 
3075,Nəsimi r.,27000,20/22 ,100 ,3 
3076,Nəriman Nərimanov m.,18600,3/8 ,70 ,2 
3077,Yasamal r.,22500,7/9 ,85 ,2 
3078,Yasamal q.,13500,5/5 ,71 ,3 
3079,Nizami m.,60000,,140 ,3 
3080,Sahil m.,22500,4/5 ,90 ,2 
3081,Qara Qarayev m.,22500,2/17 ,160 ,4 
3082,Yasamal r.,18000,12/22 ,80 ,3 
3083,İçəri Şəhər m.,165000,,500 ,
3084,28 May m.,45000,9/12 ,160 ,3 
3085,Elmlər Akademiyası m.,33000,16/18 ,120 ,2 
3086,Sahil m.,22500,4/5 ,88 ,2 
3087,Sahil m.,22500,4/5 ,90 ,2 
3088,Nərimanov r.,22500,9/16 ,140 ,4 
3089,Nizami m.,18000,8/16 ,70 ,2 
3090,Nəsimi r.,24000,,70 ,
3091,28 May m.,30000,12/21 ,110 ,2 
3092,Yasamal r.,186000,,615 ,
3093,Nəsimi r.,39000,8/16 ,135 ,3 
3094,Şah İsmayıl Xətai m.,75000,17/19 ,130 ,3 
3095,20 Yanvar m.,18000,11/20 ,62 ,2 
3096,28 May m.,30000,12/14 ,65 ,3 
3097,Yasamal r.,27000,15/27 ,110 ,3 
3098,8 Noyabr m.,21000,3/17 ,100 ,3 
3099,Elmlər Akademiyası m.,24000,10/18 ,132 ,3 
3100,Nərimanov r.,21000,11/16 ,145 ,3 
3101,Şah İsmayıl Xətai m.,33000,10/19 ,102 ,2 
3102,Nəsimi r.,11400,3/5 ,50 ,2 
3103,Yasamal r.,30000,10/22 ,100 ,3 
3104,Yasamal r.,33000,14/20 ,154 ,3 
3105,28 May m.,51000,17/22 ,165 ,3 
3106,Şah İsmayıl Xətai m.,36000,12/18 ,150 ,3 
3107,İnşaatçılar m.,45000,15/18 ,160 ,4 
3108,Nizami m.,24000,3/3 ,100 ,3 
3109,8 Noyabr m.,21000,13/17 ,140 ,3 
3110,Nardaran q.,150,5/8 ,58 ,1 
3111,Nəriman Nərimanov m.,16500,3/5 ,60 ,3 
3112,Elmlər Akademiyası m.,13500,5/5 ,75 ,3 
3113,İnşaatçılar m.,7500,1/2 ,50 ,2 
3114,Qəbələ,180,,200 ,5 
3115,Xətai r.,39000,9/18 ,100 ,3 
3116,Gənclik m.,15000,5/9 ,86 ,3 
3117,Nardaran q.,105000,2/6 ,115 ,3 
3118,Nəriman Nərimanov m.,21000,11/17 ,145 ,3 
3119,Elmlər Akademiyası m.,13500,,30 ,1 
3120,Nəsimi r.,36900,14/17 ,131 ,3 
3121,Nəsimi r.,129000,,570 ,1 
3122,Xırdalan,7500,,50 ,2 
3123,İçəri Şəhər m.,39000,2/16 ,100 ,3 
3124,Elmlər Akademiyası m.,33000,16/18 ,120 ,2 
3125,Xətai r.,150000,,500 ,
3126,Elmlər Akademiyası m.,20400,4/5 ,70 ,3 
3127,Nəsimi r.,45000,17/19 ,150 ,3 
3128,İnşaatçılar m.,285000,,600 ,
3129,Şah İsmayıl Xətai m.,42000,8/15 ,196 ,4 
3130,İçəri Şəhər m.,54000,2/16 ,170 ,4 
3131,Səbail r.,19500,9/14 ,40 ,2 
3132,İçəri Şəhər m.,30000,1/2 ,100 ,3 
3133,Qara Qarayev m.,19500,8/18 ,63 ,2 
3134,28 May m.,18000,3/5 ,60 ,2 
3135,28 May m.,21000,,70 ,
3136,Gənclik m.,27000,20/22 ,100 ,3 
3137,20 Yanvar m.,18000,9/20 ,60 ,2 
3138,Yasamal r.,18000,16/20 ,90 ,3 
3139,Nizami m.,34500,3/16 ,120 ,3 
3140,Nərimanov r.,27000,20/22 ,100 ,3 
3141,Elmlər Akademiyası m.,10500,5/5 ,35 ,1 
3142,İçəri Şəhər m.,36000,,120 ,4 
3143,Abşeron r.,120000,,1000 ,
3144,İnşaatçılar m.,30,,30 ,1 
3145,Nərimanov r.,18000,5/5 ,115 ,3 
3146,Nəsimi r.,33000,8/15 ,115 ,3 
3147,Elmlər Akademiyası m.,13500,,35 ,1 
3148,8 Noyabr m.,21000,14/16 ,100 ,3 
3149,Nəriman Nərimanov m.,45000,10/11 ,320 ,4 
3150,Nəriman Nərimanov m.,42000,12/18 ,190 ,4 
3151,Memar Əcəmi m.,10500,1/5 ,45 ,2 
3152,Sahil m.,15000,4/5 ,38 ,1 
3153,Nəriman Nərimanov m.,25500,2/18 ,110 ,2 
3154,Şah İsmayıl Xətai m.,75000,,200 ,4 
3155,Xətai r.,28500,6/19 ,145 ,3 
3156,İçəri Şəhər m.,90000,,300 ,0 
3157,Memar Əcəmi m.,12000,1/5 ,60 ,2 
3158,Şah İsmayıl Xətai m.,36000,5/16 ,200 ,4 
3159,Azadlıq Prospekti m.,9000,,70 ,2 
3160,İçəri Şəhər m.,90000,,300 ,
3161,Şah İsmayıl Xətai m.,36000,9/25 ,90 ,2 
3162,Əhmədli m.,7800,,8 ,
3163,Şah İsmayıl Xətai m.,48000,6/9 ,200 ,4 
3164,Nəsimi r.,27000,20/22 ,95 ,3 
3165,8 Noyabr m.,21000,14/16 ,100 ,3 
3166,Nəriman Nərimanov m.,45000,,120 ,
3167,Lökbatan q.,105000,,500 ,
3168,Nizami r.,15000,17/20 ,82 ,3 
3169,Neftçilər m.,13500,1/5 ,45 ,2 
3170,Şıxov q.,90000,,290 ,3 
3171,Nəriman Nərimanov m.,180000,,670 ,
3172,Nəriman Nərimanov m.,15000,7/16 ,68 ,2 
3173,Qara Qarayev m.,18000,5/16 ,75 ,2 
3174,Sahil m.,27000,2/5 ,55 ,2 
3175,Elmlər Akademiyası m.,15000,4/5 ,50 ,3 
3176,Gənclik m.,33000,8/12 ,140 ,3 
3177,Elmlər Akademiyası m.,13500,5/5 ,75 ,3 
3178,Yasamal r.,25500,16/18 ,150 ,3 
3179,Şah İsmayıl Xətai m.,22500,12/18 ,92 ,2 
3180,Şah İsmayıl Xətai m.,27000,7/18 ,105 ,3 
3181,Qax,150,,100 ,4 
3182,Nizami m.,18000,11/16 ,66 ,2 
3183,Dərnəgül m.,118800,,330 ,4 
3184,Bayıl q.,19500,8/14 ,40 ,1 
3185,Qazax,3600,,80 ,4 
3186,Nizami m.,8400,,40 ,2 
3187,Bülbülə q.,15000,,100 ,
3188,Şah İsmayıl Xətai m.,39000,7/19 ,135 ,3 
3189,Sahil m.,60000,,100 ,
3190,Mərdəkan q.,170,,400 ,
3191,Massiv D q.,11400,6/9 ,50 ,2 
3192,Səbail r.,120000,10/33 ,220 ,4 
3193,Həzi Aslanov q.,7800,4/4 ,60 ,3 
3194,Yasamal r.,10500,2/5 ,50 ,2 
3195,Keşlə q.,9000,1/2 ,53 ,2 
3196,20 Yanvar m.,13500,5/5 ,50 ,2 
3197,Memar Əcəmi m.,24000,,70 ,
3198,İnşaatçılar m.,8400,5/5 ,40 ,1 
3199,28 May m.,30000,7/17 ,110 ,2 
3200,Qaraçuxur q.,4500,,25 ,1 
3201,Yasamal q.,18000,16/22 ,85 ,3 
3202,Qara Qarayev m.,18000,5/17 ,74 ,2 
3203,Nərimanov r.,30000,3/12 ,140 ,3 
3204,Gənclik m.,54000,,90 ,
3205,Xutor q.,16500,8/9 ,80 ,3 
3206,Nizami r.,19500,6/16 ,120 ,3 
3207,İçəri Şəhər m.,42000,5/12 ,160 ,4 
3208,Yasamal q.,19500,16/20 ,80 ,3 
3209,Nizami r.,15000,,45 ,5 
3210,Nəriman Nərimanov m.,20100,11/14 ,90 ,2 
3211,Elmlər Akademiyası m.,33000,16/18 ,120 ,2 
3212,20 Yanvar m.,19500,11/19 ,60 ,2 
3213,Səbail r.,16500,3/5 ,55 ,2 
3214,Şah İsmayıl Xətai m.,60000,14/24 ,250 ,4 
3215,Yasamal r.,11970,5/5 ,60 ,2 
3216,8 Noyabr m.,24000,8/18 ,144 ,4 
3217,28 May m.,21000,4/4 ,100 ,3 
3218,İçəri Şəhər m.,39000,3/5 ,75 ,2 
3219,İnşaatçılar m.,21000,3/16 ,100 ,3 
3220,İnşaatçılar m.,13500,5/5 ,72 ,3 
3221,Səbail r.,36000,,150 ,
3222,Yasamal r.,13500,2/5 ,45 ,2 
3223,Gəncə,10500,7/12 ,80 ,2 
3224,Bayıl q.,27000,1/3 ,140 ,3 
3225,Nəsimi r.,45000,14/19 ,220 ,3 
3226,Nəsimi r.,51000,,121 ,
3227,Neftçilər m.,21000,6/14 ,125 ,3 
3228,Nərimanov r.,24000,9/16 ,120 ,3 
3229,Nizami m.,15900,12/16 ,65 ,2 
3230,8 Noyabr m.,24000,14/19 ,150 ,3 
3231,Nəsimi r.,36000,,210 ,
3232,Əhmədli m.,24000,,80 ,
3233,Xətai r.,8700,,102 ,3 
3234,Nəsimi r.,45000,14/20 ,220 ,3 
3235,Şah İsmayıl Xətai m.,27000,2/17 ,160 ,4 
3236,Şah İsmayıl Xətai m.,25500,15/21 ,75 ,2 
3237,Sahil m.,60000,8/22 ,152 ,4 
3238,Nəsimi r.,36000,7/27 ,147 ,3 
3239,Elmlər Akademiyası m.,2400,,14 ,
3240,Mərdəkan q.,99,,200 ,
3241,Mərdəkan q.,149,,480 ,
3242,Novxanı q.,150,,260 ,
3243,Mərdəkan q.,150,,250 ,
3244,Nardaran q.,499,,500 ,
3245,Nərimanov r.,22500,,180 ,
3246,Şah İsmayıl Xətai m.,75000,,150 ,
3247,Xətai r.,45000,3/7 ,150 ,3 
3248,Yasamal r.,36000,25/27 ,140 ,3 
3249,Bilgəh q.,150,,300 ,
3250,28 May m.,30000,6/10 ,100 ,3 
3251,Nəriman Nərimanov m.,36000,6/17 ,160 ,4 
3252,Mərdəkan q.,150,,250 ,
3253,Şah İsmayıl Xətai m.,30000,8/16 ,110 ,3 
3254,Nəsimi r.,30000,11/27 ,105 ,2 
3255,Nəsimi r.,30000,12/27 ,103 ,2 
3256,Nəsimi r.,27000,16/27 ,103 ,3 
3257,Nəsimi r.,42000,27/27 ,147 ,3 
3258,Nəsimi r.,33000,11/27 ,104 ,2 
3259,28 May m.,22500,4/16 ,80 ,3 
3260,Şah İsmayıl Xətai m.,22500,7/16 ,87 ,2 
3261,Nəsimi r.,24000,19/20 ,150 ,3 
3262,Sahil m.,24000,2/3 ,70 ,3 
3263,Nəriman Nərimanov m.,19500,15/20 ,120 ,3 
3264,Nizami m.,30000,5/17 ,120 ,3 
3265,Nəsimi r.,27000,17/18 ,200 ,3 
3266,Sahil m.,24000,2/3 ,80 ,3 
3267,İçəri Şəhər m.,90000,,320 ,
3268,Elmlər Akademiyası m.,30000,9/17 ,100 ,3 
3269,Sahil m.,27000,4/4 ,90 ,3 
3270,Nizami m.,600000,,1700 ,
3271,Nəsimi r.,18000,5/13 ,60 ,2 
3272,Nərimanov r.,15000,6/10 ,70 ,2 
3273,Şah İsmayıl Xətai m.,22500,6/12 ,100 ,2 
3274,Nərimanov r.,30000,8/17 ,119 ,3 
3275,Gənclik m.,18000,5/5 ,105 ,4 
3276,Nəriman Nərimanov m.,15000,4/5 ,40 ,1 
3277,Həzi Aslanov m.,10500,6/15 ,85 ,2 
3278,Şah İsmayıl Xətai m.,25500,6/18 ,110 ,3 
3279,Şah İsmayıl Xətai m.,72000,10/21 ,110 ,3 
3280,Bakıxanov q.,15000,7/20 ,115 ,3 
3281,Elmlər Akademiyası m.,33000,11/16 ,130 ,3 
3282,Nəsimi r.,84000,4/16 ,220 ,4 
3283,Sahil m.,40,2/4 ,80 ,2 
3284,Şah İsmayıl Xətai m.,42000,15/16 ,170 ,4 
3285,Nəsimi r.,65,7/20 ,70 ,2 
3286,Şah İsmayıl Xətai m.,30000,10/18 ,100 ,3 
3287,Şah İsmayıl Xətai m.,24000,,50 ,
3288,Nərimanov r.,135000,,600 ,5 
3289,Xırdalan,12000,5/5 ,50 ,2 
3290,Sahil m.,13500,1/3 ,50 ,1 
3291,Nizami m.,30000,11/16 ,130 ,3 
3292,İnşaatçılar m.,9000,3/5 ,32 ,1 
3293,Badamdar q.,29970,,100 ,4 
3294,Bayıl q.,19500,9/9 ,65 ,2 
3295,7-ci mikrorayon q.,7500,,35 ,2 
3296,İçəri Şəhər m.,18000,1/2 ,30 ,2 
3297,4-cü mikrorayon q.,10500,9/17 ,60 ,2 
3298,Şah İsmayıl Xətai m.,24000,12/20 ,100 ,3 
3299,Şah İsmayıl Xətai m.,30000,7/17 ,101 ,2 
3300,Nizami m.,21000,2/6 ,110 ,4 
3301,Nəsimi r.,39,6/18 ,45 ,1 
3302,Nəriman Nərimanov m.,756000,,4200 ,
3303,7-ci mikrorayon q.,7500,,35 ,2 
3304,Nəsimi r.,114000,6/30 ,200 ,4 
3305,Elmlər Akademiyası m.,10500,1/5 ,40 ,2 
3306,Nəsimi r.,18600,5/18 ,50 ,2 
3307,Səbail r.,22500,4/5 ,88 ,2 
3308,Dərnəgül m.,45000,,300 ,6 
3309,Sahil m.,22500,4/5 ,90 ,2 
3310,Sahil m.,24000,2/5 ,60 ,2 
3311,Yasamal r.,30000,21/27 ,70 ,2 
3312,Nəsimi m.,60000,,200 ,
3313,Masazır q.,12000,5/5 ,55 ,2 
3314,Badamdar q.,81000,,400 ,9 
3315,8 Noyabr m.,21000,3/17 ,100 ,3 
3316,Nəsimi r.,24000,,35 ,
3317,Şah İsmayıl Xətai m.,180000,,850 ,
3318,Nəsimi r.,22500,4/4 ,100 ,3 
3319,Səbail r.,33000,11/20 ,153 ,3 
3320,Şah İsmayıl Xətai m.,23970,12/19 ,120 ,3 
3321,Nərimanov r.,18000,3/5 ,60 ,3 
3322,20-ci sahə q.,180000,,4500 ,
3323,28 May m.,45000,7/20 ,110 ,2 
3324,Yasamal r.,18000,5/12 ,50 ,2 
3325,Nəsimi r.,21000,6/23 ,90 ,3 
3326,Sahil m.,30000,4/4 ,100 ,3 
3327,Lökbatan q.,105000,,500 ,
3328,Nəsimi r.,45000,,135 ,
3329,Sahil m.,21000,4/5 ,90 ,2 
3330,28 May m.,21000,3/4 ,45 ,2 
3331,Masazır q.,12000,2/13 ,70 ,2 
3332,Nizami r.,15000,5/18 ,70 ,2 
3333,20 Yanvar m.,22500,10/20 ,95 ,3 
3334,28 May m.,24000,11/19 ,130 ,3 
3335,Yasamal r.,25500,4/17 ,130 ,3 
3336,8 Noyabr m.,25500,14/16 ,144 ,4 
3337,20 Yanvar m.,19500,8/20 ,86 ,3 
3338,Şah İsmayıl Xətai m.,25500,6/12 ,125 ,3 
3339,Nizami m.,18000,11/18 ,80 ,2 
3340,Sahil m.,21000,4/5 ,90 ,2 
3341,Xətai r.,21000,8/16 ,87 ,2 
3342,Nizami m.,69000,7/14 ,230 ,4 
3343,Səbail r.,45000,2/2 ,130 ,3 
3344,Nəsimi m.,12000,,100 ,3 
3345,İnşaatçılar m.,14100,2/19 ,50 ,2 
3346,Yasamal r.,24000,13/18 ,130 ,3 
3347,İnşaatçılar m.,21000,3/4 ,45 ,2 
3348,Şah İsmayıl Xətai m.,27000,6/16 ,140 ,3 
3349,20 Yanvar m.,21000,10/20 ,100 ,3 
3350,Şıxov q.,135000,,850 ,
3351,Nəsimi r.,30000,9/18 ,100 ,2 
3352,Səbail r.,90000,10/30 ,115 ,3 
3353,Nərimanov r.,25500,14/16 ,120 ,3 
3354,İçəri Şəhər m.,21000,4/9 ,80 ,3 
3355,Nəsimi r.,21000,4/4 ,100 ,3 
3356,Nəsimi r.,30000,3/20 ,120 ,3 
3357,28 May m.,24000,10/18 ,140 ,3 
3358,Şah İsmayıl Xətai m.,30000,4/17 ,154 ,3 
3359,Şah İsmayıl Xətai m.,28500,7/18 ,120 ,3 
3360,Nərimanov r.,24000,,80 ,3 
3361,Nəsimi r.,30000,17/18 ,196 ,3 
3362,Bayıl q.,24000,12/16 ,92 ,2 
3363,Xətai r.,390000,,2180 ,
3364,İnşaatçılar m.,15000,20/24 ,86 ,2 
3365,7-ci mikrorayon q.,19500,6/17 ,90 ,2 
3366,Binəqədi r.,45000,,160 ,
3367,Əhmədli m.,15000,12/17 ,96 ,3 
3368,28 May m.,24000,4/16 ,80 ,2 
3369,Nizami r.,108000,,600 ,
3370,8 Noyabr m.,21000,3/17 ,100 ,3 
3371,Nərimanov r.,324000,,1800 ,
3372,Elmlər Akademiyası m.,22500,10/14 ,110 ,3 
3373,Ulduz m.,162000,,1200 ,
3374,Xətai r.,150000,,600 ,
3375,Nəsimi r.,30000,17/18 ,195 ,3 
3376,Nəsimi r.,30000,18/21 ,115 ,2 
3377,İçəri Şəhər m.,39000,3/6 ,90 ,2 
3378,Biləcəri q.,510000,,2000 ,
3379,28 May m.,21000,4/10 ,120 ,3 
3380,28 May m.,21000,4/18 ,80 ,2 
3381,Sahil m.,15000,1/3 ,50 ,1 
3382,Nəsimi r.,15000,5/9 ,50 ,2 
3383,Sahil m.,24000,2/2 ,60 ,2 
3384,Nizami m.,33000,3/17 ,115 ,2 
3385,Binəqədi r.,51000,,160 ,
3386,Binəqədi r.,189000,,1800 ,
3387,Sahil m.,30000,2/3 ,60 ,2 
3388,Qəbələ,120,,260 ,
3389,İçəri Şəhər m.,22500,4/5 ,88 ,2 
3390,Nəsimi r.,30000,7/16 ,178 ,3 
3391,Sahil m.,22500,4/5 ,80 ,2 
3392,Nizami m.,30000,5/9 ,180 ,4 
3393,Yasamal r.,25500,9/14 ,174 ,4 
3394,Sahil m.,150000,,330 ,
3395,28 May m.,18000,3/5 ,60 ,2 
3396,İçəri Şəhər m.,30000,3/4 ,30 ,2 
3397,Nəsimi r.,63000,1/33 ,155 ,3 
3398,Xətai r.,270000,,1200 ,
3399,Nərimanov r.,25,,450 ,
3400,Nəsimi r.,84000,4/16 ,220 ,4 
3401,28 May m.,270000,,800 ,
3402,Sahil m.,45000,4/9 ,80 ,3 
3403,Nizami r.,15000,,140 ,4 
3404,İnşaatçılar m.,22500,11/13 ,102 ,3 
3405,Yasamal q.,11970,5/5 ,37 ,1 
3406,Elmlər Akademiyası m.,26700,4/17 ,100 ,3 
3407,Nəriman Nərimanov m.,25500,13/17 ,130 ,3 
3408,İçəri Şəhər m.,21000,1/2 ,60 ,2 
3409,Nəsimi r.,42000,15/18 ,150 ,3 
3410,Sahil m.,24000,2/3 ,63 ,3 
3411,Xətai r.,39000,4/17 ,154 ,3 
3412,Səbail r.,22500,4/5 ,88 ,2 
3413,28 May m.,30000,9/10 ,100 ,2 
3414,Nizami m.,15000,,35 ,
3415,Şah İsmayıl Xətai m.,30000,8/16 ,140 ,3 
3416,Biləcəri q.,60000,,320 ,
3417,Nəsimi r.,105000,5/30 ,120 ,3 
3418,Nəsimi r.,102000,7/30 ,175 ,3 
3419,Nəsimi r.,84000,1/30 ,180 ,3 
3420,Nəsimi r.,90000,,190 ,3 
3421,20 Yanvar m.,22500,3/18 ,144 ,3 
3422,Nəriman Nərimanov m.,13800,5/18 ,67 ,2 
3423,Şah İsmayıl Xətai m.,75000,8/20 ,150 ,3 
3424,Xətai r.,121500,6/14 ,171 ,4 
3425,Bayıl q.,24000,3/5 ,60 ,2 
3426,8 Noyabr m.,14100,1/9 ,80 ,3 
3427,Yasamal r.,15000,3/18 ,65 ,2 
3428,28 May m.,12000,,80 ,3 
3429,Nizami m.,43500,8/16 ,176 ,4 
3430,Şah İsmayıl Xətai m.,21000,16/18 ,120 ,3 
3431,Nizami m.,600000,,1700 ,
3432,Nəsimi r.,15000,3/5 ,45 ,2 
3433,Nəriman Nərimanov m.,18000,3/5 ,60 ,3 
3434,Şah İsmayıl Xətai m.,24000,14/16 ,60 ,2 
3435,Xalqlar Dostluğu m.,12900,5/10 ,70 ,3 
3436,Yeni Yasamal q.,13500,8/19 ,65 ,2 
3437,20 Yanvar m.,19500,,50 ,
3438,İçəri Şəhər m.,20,,25 ,
3439,Nəsimi r.,21000,4/4 ,60 ,2 
3440,Şah İsmayıl Xətai m.,24000,,50 ,
3441,Nəsimi r.,39000,4/18 ,187 ,4 
3442,Nizami m.,13500,3/5 ,40 ,2 
3443,28 May m.,48000,12/16 ,180 ,4 
3444,Şah İsmayıl Xətai m.,42000,12/18 ,180 ,4 
3445,Qaradağ r.,22500,,150 ,
3446,Suraxanı r.,105000,,300 ,
3447,İnşaatçılar m.,15000,20/24 ,90 ,2 
3448,Nəsimi r.,54000,5/17 ,210 ,4 
3449,İnşaatçılar m.,18600,6/12 ,50 ,2 
3450,Badamdar q.,159000,,800 ,3 
3451,Nəsimi r.,42000,15/18 ,130 ,3 
3452,İnşaatçılar m.,15000,20/24 ,86 ,2 
3453,Şah İsmayıl Xətai m.,24000,14/16 ,56 ,2 
3454,Nizami m.,24000,3/3 ,48 ,2 
3455,Nəsimi r.,12000,,20 ,1 
3456,İnşaatçılar m.,15000,20/24 ,90 ,2 
3457,Qusar,120,,200 ,3 
3458,Sahil m.,255000,,80 ,
3459,Nərimanov r.,19500,4/5 ,99 ,3 
3460,Sahil m.,150000,,60 ,
3461,Sahil m.,150000,,106 ,
3462,İçəri Şəhər m.,75000,,170 ,
3463,28 May m.,21000,5/12 ,120 ,3 
3464,Səbail r.,135000,,10000 ,
3465,Binəqədi r.,51000,,160 ,7 
3466,Nəriman Nərimanov m.,21000,2/8 ,150 ,4 
3467,Nəriman Nərimanov m.,15000,7/8 ,90 ,2 
3468,Nərimanov r.,16500,14/18 ,95 ,2 
3469,İnşaatçılar m.,14970,20/24 ,90 ,2 
3470,Nəsimi r.,45000,3/15 ,140 ,3 
3471,8 Noyabr m.,25500,8/18 ,144 ,4 
3472,Nərimanov r.,21000,12/14 ,85 ,2 
3473,Nəriman Nərimanov m.,18000,5/5 ,100 ,3 
3474,Nəsimi r.,84000,,220 ,
3475,Nəsimi r.,45000,2/10 ,160 ,4 
3476,Nəriman Nərimanov m.,24000,,80 ,
3477,İçəri Şəhər m.,42000,5/9 ,75 ,2 
3478,Nəriman Nərimanov m.,17970,3/5 ,70 ,3 
3479,Nəsimi r.,105000,9/22 ,170 ,3 
3480,Memar Əcəmi m.,14250,3/16 ,120 ,3 
3481,Mərdəkan q.,330000,,350 ,
3482,İnşaatçılar m.,16500,2/5 ,110 ,4 
3483,İnşaatçılar m.,15000,20/24 ,86 ,2 
3484,28 May m.,45000,16/22 ,135 ,4 
3485,Nizami m.,21000,9/18 ,100 ,3 
3486,Nərimanov r.,15000,,20 ,1 
3487,Nəsimi r.,90000,7/16 ,196 ,4 
3488,Memar Əcəmi m.,9900,4/5 ,55 ,2 
3489,Nəsimi r.,42000,15/18 ,130 ,3 
3490,İnşaatçılar m.,21000,3/16 ,100 ,3 
3491,Nərimanov r.,24000,12/19 ,140 ,3 
3492,Nərimanov r.,21000,10/15 ,100 ,2 
3493,İnşaatçılar m.,21000,4/16 ,100 ,3 
3494,Şah İsmayıl Xətai m.,39000,11/18 ,190 ,5 
3495,Elmlər Akademiyası m.,30000,6/10 ,150 ,3 
3496,Sahil m.,24000,2/5 ,60 ,2 
3497,Xalqlar Dostluğu m.,12900,6/9 ,70 ,3 
3498,Nəsimi r.,45000,11/17 ,148 ,3 
3499,Nəsimi r.,24000,,80 ,3 
3500,Nizami m.,24000,3/3 ,48 ,2 
3501,İçəri Şəhər m.,18000,4/5 ,75 ,3 
3502,Elmlər Akademiyası m.,12000,4/5 ,38 ,1 
3503,Nizami m.,24000,3/3 ,49 ,2 
3504,Nizami m.,24000,3/3 ,48 ,2 
3505,Gənclik m.,51000,,140 ,7 
3506,8 Noyabr m.,19500,3/9 ,65 ,3 
3507,Elmlər Akademiyası m.,24000,16/19 ,120 ,2 
3508,Şah İsmayıl Xətai m.,27000,6/16 ,140 ,3 
3509,İnşaatçılar m.,36000,11/24 ,100 ,2 
3510,Yasamal r.,13500,3/5 ,65 ,3 
3511,Nizami m.,24000,3/3 ,50 ,2 
3512,Şah İsmayıl Xətai m.,30000,6/17 ,110 ,3 
3513,İçəri Şəhər m.,24000,,90 ,3 
3514,Nəsimi r.,150000,,350 ,
3515,Nəsimi r.,30000,8/18 ,100 ,2 
3516,Nərimanov r.,36000,,205 ,
3517,Nizami m.,16500,11/16 ,70 ,2 
3518,Neftçilər m.,12000,1/5 ,50 ,3 
3519,28 May m.,16500,1/5 ,60 ,3 
3520,Elmlər Akademiyası m.,16500,11/16 ,60 ,2 
3521,8 Noyabr m.,25500,10/18 ,144 ,4 
3522,28 May m.,21000,4/16 ,80 ,2 
3523,28 May m.,21000,3/4 ,64 ,2 
3524,Sahil m.,18000,3/5 ,70 ,2 
3525,Nəriman Nərimanov m.,129000,,240 ,
3526,Yeni Yasamal q.,15000,14/18 ,85 ,2 
3527,Şah İsmayıl Xətai m.,24000,12/17 ,60 ,2 
3528,8 Noyabr m.,21000,14/16 ,100 ,3 
3529,Yasamal r.,21000,4/5 ,110 ,3 
3530,İnşaatçılar m.,75000,,250 ,
3531,Gəncə,90000,,3200 ,
3532,Nəsimi r.,84000,,220 ,
3533,Nərimanov r.,30,2/9 ,60 ,2 
3534,Nəsimi r.,84000,,220 ,8 
3535,Neftçilər m.,86970,,399 ,
3536,28 May m.,18000,2/5 ,55 ,2 
3537,Nəsimi r.,21000,4/16 ,90 ,2 
3538,Nizami m.,24000,3/3 ,70 ,2 
3539,Qara Qarayev m.,7500,,20 ,1 
3540,Yasamal r.,19500,14/18 ,105 ,2 
3541,İnşaatçılar m.,10500,2/5 ,48 ,2 
3542,Şah İsmayıl Xətai m.,25500,10/18 ,80 ,2 
3543,28 May m.,57000,14/15 ,70 ,2 
3544,Nərimanov r.,18000,3/5 ,100 ,3 
3545,Şah İsmayıl Xətai m.,57000,9/24 ,150 ,3 
3546,Nərimanov r.,18000,3/5 ,100 ,3 
3547,28 May m.,24000,4/16 ,80 ,2 
3548,Xətai r.,9000,6/15 ,85 ,2 
3549,28 May m.,45000,3/19 ,200 ,4 
3550,Nizami m.,42000,14/17 ,202 ,4 
3551,Nəriman Nərimanov m.,19500,5/17 ,128 ,3 
3552,Elmlər Akademiyası m.,36000,3/16 ,200 ,4 
3553,Nəsimi r.,15000,,90 ,3 
3554,Şah İsmayıl Xətai m.,45000,17/23 ,176 ,3 
3555,Həzi Aslanov m.,7500,,40 ,1 
3556,Şah İsmayıl Xətai m.,30000,12/18 ,90 ,3 
3557,Şah İsmayıl Xətai m.,42000,14/20 ,130 ,3 
3558,Sahil m.,24000,3/5 ,65 ,2 
3559,Həzi Aslanov q.,13500,9/9 ,90 ,3 
3560,Nəsimi r.,22500,7/18 ,95 ,3 
3561,Nizami m.,42000,14/17 ,202 ,4 
3562,Nərimanov r.,21000,16/18 ,130 ,3 
3563,Həzi Aslanov q.,12600,6/9 ,60 ,2 
3564,Sahil m.,36000,,100 ,5 
3565,Sahil m.,50970,3/3 ,150 ,4 
3566,Gənclik m.,21,2/4 ,22 ,1 
3567,Neftçilər m.,45000,,120 ,
3568,28 May m.,18000,3/5 ,55 ,2 
3569,Sahil m.,24000,3/5 ,65 ,2 
3570,Köhnə Günəşli q.,12000,6/9 ,55 ,2 
3571,Nizami m.,50970,,180 ,6 
3572,Sahil m.,39000,3/6 ,79 ,2 
3573,Nizami m.,24000,8/16 ,110 ,2 
3574,28 May m.,36000,12/20 ,130 ,3 
3575,Nəriman Nərimanov m.,19500,5/5 ,80 ,3 
3576,Memar Əcəmi m.,18000,11/16 ,90 ,2 
3577,Yeni Yasamal q.,18000,10/19 ,118 ,3 
3578,Türkan q.,49500,,385 ,
