,Locations,Prices,Floor,Area,Rooms,Rent
181,Nizami m.,30000,11/20 ,70 ,1 ,1.0
182,Şah İsmayıl Xətai m.,21000,17/18 ,100 ,3 ,1.0
183,Azadlıq Prospekti m.,600,3/9 ,60 ,3 ,1.0
184,28 May m.,36000,9/15 ,160 ,3 ,1.0
185,20 Yanvar m.,7500,2/5 ,38 ,1 ,1.0
186,Nəsimi r.,150000,7/30 ,300 ,5 ,1.0
187,Nəsimi r.,75000,8/30 ,140 ,3 ,1.0
188,Xətai r.,159000,13/14 ,250 ,5 ,1.0
189,İnşaatçılar m.,105000,,220 ,,1.0
190,Xalqlar Dostluğu m.,18000,7/18 ,70 ,2 ,1.0
191,Nəsimi r.,21000,4/16 ,95 ,2 ,1.0
192,İnşaatçılar m.,15000,11/22 ,65 ,2 ,1.0
193,Yasamal r.,105000,,130 ,,1.0
194,Abşeron r.,12000,8/16 ,70 ,2 ,1.0
195,28 May m.,75000,,220 ,5 ,1.0
196,Şah İsmayıl Xətai m.,19800,12/16 ,80 ,2 ,1.0
197,Yasamal r.,24000,5/28 ,85 ,2 ,1.0
198,Nəsimi r.,75000,,240 ,7 ,1.0
199,28 May m.,75000,,130 ,4 ,1.0
200,Memar Əcəmi m.,17400,9/16 ,93 ,2 ,1.0
201,Nəsimi r.,25500,10/19 ,115 ,3 ,1.0
202,Nərimanov r.,105000,,210 ,4 ,1.0
203,28 May m.,60000,,70 ,,1.0
204,Əhmədli m.,12000,,30 ,,1.0
205,Gənclik m.,15000,3/18 ,35 ,1 ,1.0
206,Qara Qarayev m.,90000,,80 ,,1.0
207,Nizami m.,18000,12/16 ,60 ,2 ,1.0
208,Nəsimi r.,45000,14/16 ,200 ,4 ,1.0
209,Xalqlar Dostluğu m.,12000,7/18 ,53 ,1 ,1.0
210,Şah İsmayıl Xətai m.,25500,6/12 ,120 ,3 ,1.0
211,Şah İsmayıl Xətai m.,24000,4/16 ,117 ,4 ,1.0
212,Neftçilər m.,15000,3/16 ,63 ,2 ,1.0
213,Nəsimi r.,18000,12/18 ,70 ,2 ,1.0
214,Kubinka q.,30000,,86 ,,1.0
215,28 May m.,48000,,85 ,,1.0
216,Nəriman Nərimanov m.,18000,4/9 ,96 ,3 ,1.0
217,Yasamal r.,12000,5/5 ,36 ,2 ,1.0
218,Qusar,50,,25 ,1 ,1.0
219,8 Noyabr m.,13500,5/9 ,100 ,4 ,1.0
220,Nəsimi r.,18000,13/18 ,69 ,2 ,1.0
221,Şah İsmayıl Xətai m.,30000,4/16 ,154 ,5 ,1.0
222,Nəsimi r.,102000,19/21 ,380 ,4 ,1.0
223,Şah İsmayıl Xətai m.,13500,,27 ,1 ,1.0
224,Azadlıq Prospekti m.,24000,,78 ,,1.0
225,Həzi Aslanov m.,6000,,30 ,1 ,1.0
226,Nəsimi r.,105000,,220 ,,1.0
227,Bakıxanov q.,9000,,400 ,,1.0
228,Yasamal r.,36000,27/27 ,150 ,3 ,1.0
229,İçəri Şəhər m.,30000,4/4 ,78 ,2 ,1.0
230,Yasamal r.,13500,7/9 ,102 ,4 ,1.0
231,Yasamal r.,150000,,360 ,6 ,1.0
232,28 May m.,33000,9/10 ,100 ,3 ,1.0
233,Nərimanov r.,6300,1/1 ,18 ,1 ,1.0
234,Xırdalan,7500,1/3 ,55 ,2 ,1.0
235,Nəsimi r.,75000,,220 ,7 ,1.0
236,Sahil m.,90000,,140 ,5 ,1.0
237,Yeni Suraxanı q.,10500,,110 ,3 ,1.0
238,Yasamal q.,39000,27/27 ,148 ,3 ,1.0
239,Suraxanı r.,48180,1/6 ,146 ,3 ,1.0
240,Şah İsmayıl Xətai m.,27000,9/16 ,130 ,3 ,1.0
241,Suraxanı r.,71610,1/6 ,217 ,3 ,1.0
242,Suraxanı r.,40260,5/6 ,122 ,3 ,1.0
243,Suraxanı r.,59700,4/6 ,199 ,4 ,1.0
244,Suraxanı r.,43890,5/6 ,133 ,3 ,1.0
245,Elmlər Akademiyası m.,13500,,35 ,1 ,1.0
246,Suraxanı r.,111540,,286 ,4 ,1.0
247,Nəriman Nərimanov m.,15000,3/5 ,50 ,3 ,1.0
248,Nəsimi r.,24000,8/24 ,100 ,2 ,1.0
249,Nəriman Nərimanov m.,17100,5/16 ,60 ,2 ,1.0
250,Neftçilər m.,15000,3/12 ,65 ,2 ,1.0
251,Şah İsmayıl Xətai m.,25500,16/16 ,95 ,2 ,1.0
252,Nəsimi m.,75000,,610 ,2 ,1.0
253,8 Noyabr m.,24000,6/18 ,90 ,3 ,1.0
254,Nəsimi r.,13500,3/4 ,50 ,2 ,1.0
255,Bakıxanov q.,12000,8/16 ,40 ,2 ,1.0
256,Qara Qarayev m.,90000,,80 ,,1.0
257,20 Yanvar m.,36000,2/16 ,210 ,4 ,1.0
258,Nərimanov r.,48000,,115 ,,1.0
259,8-ci mikrorayon q.,12000,8/9 ,36 ,1 ,1.0
260,Neftçilər m.,15000,5/5 ,50 ,2 ,1.0
261,Nərimanov r.,18450,8/19 ,75 ,2 ,1.0
262,İsmayıllı,60,,220 ,4 ,1.0
263,Gənclik m.,52800,,150 ,4 ,1.0
264,İçəri Şəhər m.,25500,2/3 ,110 ,3 ,1.0
265,Nəriman Nərimanov m.,17100,5/19 ,65 ,2 ,1.0
266,Nəsimi r.,39000,9/27 ,145 ,3 ,1.0
267,Səbail r.,135000,,360 ,,1.0
268,Nəsimi r.,13500,3/4 ,50 ,2 ,1.0
269,Memar Əcəmi m.,12000,5/5 ,50 ,2 ,1.0
270,Elmlər Akademiyası m.,24000,8/16 ,130 ,3 ,1.0
271,Nəriman Nərimanov m.,22500,5/17 ,76 ,2 ,1.0
272,İçəri Şəhər m.,36000,3/15 ,165 ,3 ,1.0
273,Şah İsmayıl Xətai m.,45000,12/18 ,135 ,3 ,1.0
274,Bakıxanov q.,24000,,200 ,,1.0
275,Elmlər Akademiyası m.,21000,4/16 ,85 ,3 ,1.0
276,Nəsimi r.,24000,10/27 ,65 ,2 ,1.0
277,Nəsimi r.,30000,10/27 ,100 ,2 ,1.0
278,Şah İsmayıl Xətai m.,45000,8/18 ,125 ,3 ,1.0
279,Nəsimi r.,39000,5/16 ,107 ,3 ,1.0
280,Nəriman Nərimanov m.,12000,5/18 ,72 ,2 ,1.0
281,Nərimanov r.,45000,11/16 ,92 ,2 ,1.0
282,8 Noyabr m.,25500,11/18 ,146 ,3 ,1.0
283,Nərimanov r.,21000,7/19 ,135 ,3 ,1.0
284,Elmlər Akademiyası m.,18000,4/9 ,60 ,2 ,1.0
285,Şah İsmayıl Xətai m.,45000,12/17 ,130 ,3 ,1.0
286,Nəsimi r.,33000,20/27 ,155 ,3 ,1.0
287,Şah İsmayıl Xətai m.,51000,13/17 ,140 ,3 ,1.0
288,İçəri Şəhər m.,120000,,300 ,5 ,1.0
289,Nəsimi r.,36000,7/27 ,148 ,3 ,1.0
290,Xətai r.,69000,5/7 ,190 ,4 ,1.0
291,Sahil m.,40,3/5 ,80 ,2 ,1.0
292,Nəsimi r.,36000,23/27 ,140 ,3 ,1.0
293,Nəsimi r.,33000,15/27 ,115 ,3 ,1.0
294,Bakıxanov q.,9000,4/5 ,55 ,2 ,1.0
295,8 Noyabr m.,22500,10/16 ,70 ,2 ,1.0
296,Sahil m.,40,3/5 ,70 ,2 ,1.0
297,Sahil m.,50,3/5 ,120 ,3 ,1.0
298,Xırdalan,180000,,700 ,,1.0
299,Şirvan,75000,,2500 ,,1.0
300,Gənclik m.,12000,4/5 ,35 ,2 ,1.0
301,Nəriman Nərimanov m.,24000,15/18 ,85 ,2 ,1.0
302,Yasamal r.,21000,10/18 ,90 ,3 ,1.0
303,20 Yanvar m.,19500,8/20 ,92 ,3 ,1.0
304,Elmlər Akademiyası m.,25500,4/16 ,65 ,2 ,1.0
305,Memar Əcəmi m.,12000,5/14 ,75 ,3 ,1.0
306,Yasamal r.,15000,5/5 ,80 ,3 ,1.0
307,Nərimanov r.,33000,,200 ,,1.0
308,Nəsimi r.,12000,3/4 ,50 ,2 ,1.0
309,Nizami m.,48000,,176.4 ,,1.0
310,Nəriman Nərimanov m.,36000,12/16 ,140 ,4 ,1.0
311,Yasamal q.,12000,2/5 ,40 ,1 ,1.0
312,Nəriman Nərimanov m.,12000,4/10 ,80 ,2 ,1.0
313,Yasamal r.,12000,2/5 ,33 ,1 ,1.0
314,Şah İsmayıl Xətai m.,27000,18/20 ,96 ,3 ,1.0
315,Şah İsmayıl Xətai m.,33000,5/16 ,160 ,3 ,1.0
316,Badamdar q.,34800,7/16 ,153 ,3 ,1.0
317,8 Noyabr m.,24000,10/16 ,70 ,2 ,1.0
318,Novxanı q.,30000,,360 ,1 ,1.0
319,İnşaatçılar m.,13500,8/12 ,70 ,3 ,1.0
320,Şah İsmayıl Xətai m.,36000,15/21 ,80 ,2 ,1.0
321,28 May m.,34500,9/21 ,140 ,4 ,1.0
322,Şah İsmayıl Xətai m.,30000,10/21 ,80 ,2 ,1.0
323,Nəriman Nərimanov m.,24000,18/21 ,86 ,2 ,1.0
324,Nəsimi r.,30000,7/18 ,100 ,2 ,1.0
325,İçəri Şəhər m.,24000,3/14 ,120 ,3 ,1.0
326,Həzi Aslanov q.,15000,15/20 ,92 ,2 ,1.0
327,Sahil m.,30000,4/4 ,78 ,2 ,1.0
328,Həzi Aslanov m.,11400,1/9 ,100 ,3 ,1.0
329,Nərimanov r.,27000,7/18 ,210 ,4 ,1.0
330,Memar Əcəmi m.,11100,2/5 ,45 ,2 ,1.0
331,Şah İsmayıl Xətai m.,25500,9/18 ,150 ,3 ,1.0
332,Memar Əcəmi m.,9600,5/5 ,30 ,1 ,1.0
333,Binəqədi q.,3900,,20 ,1 ,1.0
334,Şah İsmayıl Xətai m.,48000,12/32 ,182 ,3 ,1.0
335,Gənclik m.,135000,,160 ,,1.0
336,Nərimanov r.,25500,16/17 ,130 ,3 ,1.0
337,Xırdalan,9000,,40 ,2 ,1.0
338,İçəri Şəhər m.,30000,3/6 ,100 ,3 ,1.0
339,Elmlər Akademiyası m.,27000,9/10 ,200 ,5 ,1.0
340,Şah İsmayıl Xətai m.,75000,15/28 ,250 ,4 ,1.0
341,Elmlər Akademiyası m.,90000,16/16 ,500 ,5 ,1.0
